Date,Prix_median
2022/11/04,375554.5
2022/11/05,377000
2022/11/06,330000
2022/11/08,357000
2022/11/11,340620
2022/11/12,336000
2022/11/14,412000
2022/11/17,327000
2022/11/18,290250.0
2022/11/19,372630.5
2022/11/20,354950.0
2022/11/21,370000
2022/11/23,339000
2022/11/24,365000
2022/11/25,350000.0
2022/11/26,329000.0
2022/11/27,350000.0
2022/11/28,350000.0
2022/11/29,330000
2022/12/01,324706.0
2022/12/04,356000.0
2022/12/05,354448
2022/12/06,339200
2022/12/07,334950.0
2022/12/08,349000.0
2022/12/10,370000
2022/12/14,315000
2022/12/16,329900.0
2022/12/20,346000
2022/12/22,359500.0
2022/12/25,315000
2022/12/25,315000
2022/12/28,352318
2022/12/30,363000.0
2022/12/31,353400
2023/01/01,334000
2023/01/02,365000
2023/01/05,350000
2023/01/06,345900
2023/01/08,343650.0
2023/01/10,320500
2023/01/11,341232
2023/01/13,350000.0
2023/01/16,369000
2023/01/18,344000.0
2023/01/20,332950.0
2023/01/24,353000
2023/01/25,349500.0
2023/01/30,373500.0
2023/02/01,348000
2023/02/04,329000.0
2023/02/05,320000.0
2023/02/06,350000
2023/02/08,310000
2023/02/10,335000
2023/02/13,380500.0
2023/02/14,375000
2023/02/15,367500.0
2023/02/17,302193.5
2023/02/23,320000.0
2023/02/25,313900
2023/02/26,351100
2023/03/01,328900.0
2023/03/03,310000
2023/03/07,298500
2023/03/11,308995.0
2023/03/16,350000.0
2023/03/22,320000.0
2023/03/23,334000.0
2023/03/25,330000.0
2023/03/30,343000
2023/03/31,305726.5
2023/04/04,315000.0
2023/04/05,329000
2023/04/07,352000.0
2023/04/08,330000.0
2023/04/10,363000
2023/04/11,330000
2023/04/13,337860
2023/04/15,321500.0
2023/04/16,358274.0
2023/04/17,318000.0
2023/04/18,325000
2023/04/21,318000
2023/04/22,344000.0
2023/04/23,350000
2023/04/25,334000.0
2023/04/26,327796.5
2023/04/27,329000
2023/04/29,299950.0
2023/05/05,320000.0
2023/05/07,333000.0
2023/05/08,346500.0
2023/05/09,325500
2023/05/10,309279.0
2023/05/15,332000.0
2023/05/16,319300.0
2023/05/17,333000.0
2023/05/18,315000.0
2023/05/19,386150.0
2023/05/20,336000.0
2023/05/21,350000
2023/05/22,335000.0
2023/05/24,337320
2023/05/25,332000
2023/05/26,286408
2023/05/27,305000
2023/05/28,315400.0
2023/05/29,325000.0
2023/05/31,295000
2023/06/01,327000
2023/06/02,317000
2023/06/03,330000.0
2023/06/05,325000
2023/06/06,293550
2023/06/07,300000
2023/06/08,318660.0
2023/06/09,336000.0
2023/06/10,315000
2023/06/11,337000
2023/06/12,310000.0
2023/06/14,323416.5
2023/06/16,312000
2023/06/17,329000.0
2023/06/19,331679.0
2023/06/20,369950.0
2023/06/21,345525.0
2023/06/22,321262.0
2023/06/23,320125.0
2023/06/25,350000.0
2023/06/26,350000
2023/06/28,331624.0
2023/06/29,354000.0
2023/07/01,329900.0
2023/07/02,350000.0
2023/07/04,330000
2023/07/05,318000.0
2023/07/07,341500.0
2023/07/09,300450.0
2023/07/11,330900
2023/07/12,358000.0
2023/07/13,327000
2023/07/15,330000
2023/07/16,333450.0
2023/07/17,319200
2023/07/18,340400
2023/07/19,338800.0
2023/07/20,310000.0
2023/07/21,295000.0
2023/07/22,349000.0
2023/07/23,318000
2023/07/26,320000
2023/07/27,325700.0
2023/07/28,315000.0
2023/07/29,325000
2023/07/31,342900
2023/08/01,312000
2023/08/02,324000.0
2023/08/06,333060.0
2023/08/07,336000.0
2023/08/09,305000
2023/08/10,319995.0
2023/08/13,337000
2023/08/14,346950.0
2023/08/15,349000.0
2023/08/16,349000.0
